Mes,Nome_Mes,Ano,N,Media,DP,EP,IC_inf,IC_sup,Margem
5,Maio,2019,1451,20.515506547208822,36.607069235351986,0.9610174075513488,18.630373477281328,22.400639617136317,1.8851330699274953
5,Maio,2020,1082,21.65249537892791,26.894065975631943,0.8176036762657649,20.048225399433505,23.256765358422314,1.6042699794944053
5,Maio,2021,1828,19.35940919037199,27.936267957837718,0.6534017480213433,18.077916333433443,20.64090204731054,1.2814928569385475
5,Maio,2022,1884,18.75424628450106,35.68131511807476,0.822054107531119,17.142013532319726,20.366479036682396,1.612232752181336
5,Maio,2023,2458,17.796989422294548,27.927647214296822,0.5633047462561337,16.692388264461883,18.901590580127213,1.1046011578326647
5,Maio,2024,3064,18.258159268929504,26.95706308955157,0.48699914031523234,17.30328116956271,19.2130373682963,0.9548780993667932
5,Maio,2025,758,18.83245382585752,31.811941661582047,1.1554617532251312,16.564163743509493,21.100743908205548,2.2682900823480265
6,Junho,2012,2051,18.99268649439298,34.27157600835276,0.7567479377541273,17.508611569686327,20.476761419099635,1.4840749247066547
6,Junho,2013,2116,18.454631379962194,23.13946456052393,0.5030318382722594,17.468142555077854,19.441120204846534,0.9864888248843388
6,Junho,2014,2081,18.441614608361366,26.355056770794224,0.5777339855791087,17.30861751262474,19.574611704097993,1.132997095736627
6,Junho,2015,2231,18.836396234872254,25.694543091388383,0.5439902479034721,17.76961593600915,19.90317653373536,1.0667802988631054
6,Junho,2016,2150,18.59581395348837,21.98080471368453,0.47405022590396284,17.666168992139674,19.525458914837067,0.9296449613486963
6,Junho,2017,2019,18.996037642397226,24.10908033006066,0.5365528234233652,17.94378231295219,20.048292971842262,1.0522553294450343
6,Junho,2018,2181,19.829894543787255,32.213336252425165,0.68977567222769,18.477208046596754,21.182581040977755,1.352686497190501
6,Junho,2019,2125,17.95294117647059,26.45118887140532,0.5738068511721699,16.82765917665251,19.078223176288667,1.125281999818077
6,Junho,2020,2318,21.03537532355479,35.55125473295399,0.7384111014469023,19.587359744918952,22.483390902190624,1.4480155786358366
6,Junho,2021,2498,17.78062449959968,32.41505816878345,0.6485606395370994,16.508852546520732,19.052396452678625,1.271771953078946
6,Junho,2022,2478,18.83131557707829,25.80471903332538,0.5183802940827587,17.81481216890346,19.847818985253117,1.016503408174828
6,Junho,2023,2534,19.68429360694554,41.509607879893316,0.8246037881288257,18.06732723836851,21.301259975522573,1.6169663685770321
6,Junho,2024,2842,19.1780436312456,39.10893238146251,0.7336077719945623,17.739585990890674,20.616501271600526,1.4384576403549247
7,Julho,2012,1708,16.666276346604217,20.217501821851233,0.48919674394224966,15.706788021012859,17.625764672195576,0.9594883255913578
7,Julho,2013,2007,18.080717488789237,25.493366327405607,0.5690540261305207,16.96471873661735,19.196716240961123,1.1159987521718868
7,Julho,2014,1904,19.720588235294116,28.555128278363362,0.6544110793805867,18.437149792433814,21.004026678154418,1.2834384428603
7,Julho,2015,2027,18.059694129255057,25.184940589227175,0.5593891730344722,16.962656115474264,19.15673214303585,1.0970380137807936
7,Julho,2016,1684,19.586698337292162,26.147739922519253,0.6371814341000696,18.336946901009707,20.836449773574618,1.2497514362824564
7,Julho,2017,1566,18.53065134099617,32.25398436130516,0.8150560813976662,16.93193435121474,20.1293683307776,1.598716989781431
7,Julho,2018,1984,18.510584677419356,30.489333946135297,0.6845057539988538,17.168158683716623,19.85301067112209,1.342425993702733
7,Julho,2019,2173,17.752416014726187,26.1953878088622,0.5619464981242542,16.650407019530498,18.854425009921876,1.1020089951956884
7,Julho,2020,2488,18.709807073954984,24.183942612827234,0.4848438772736966,17.75906783768805,19.660546310221918,0.9507392362669326
7,Julho,2021,1994,17.292878635907723,22.904511295161058,0.512930416011851,16.286942587369143,18.298814684446302,1.0059360485385807
7,Julho,2022,2253,18.217931646693298,28.426980994701555,0.59889424980293,17.04348927404799,19.392374019338607,1.1744423726453086
7,Julho,2023,2410,18.922406639004148,27.617987127389583,0.5625789803357616,17.819217823735247,20.02559545427305,1.1031888152688998
7,Julho,2024,2790,19.16774193548387,29.013563035330375,0.5492865493196359,18.09069266938319,20.24479120158455,1.0770492661006785
8,Agosto,2012,1563,17.63147792706334,22.42879944083559,0.5673179677148853,16.5186928776311,18.74426297649558,1.1127850494322404
8,Agosto,2013,1706,17.172919109026964,27.291797709329128,0.6607583045636207,15.876936634093486,18.46890158396044,1.2959824749334776
8,Agosto,2014,1842,18.750271444082518,38.92545784263437,0.906961634969513,16.97148985813655,20.529053030028486,1.7787815859459681
8,Agosto,2015,1638,19.318681318681318,31.927296459694134,0.7888695561194891,17.771381372413096,20.86598126494954,1.5472999462682235
8,Agosto,2016,1536,18.719401041666668,25.612752089700198,0.6535226409184276,17.437509430176107,20.00129265315723,1.2818916114905625
8,Agosto,2017,1840,17.283152173913045,20.354811898846105,0.47452399916252863,16.35248970357413,18.21381464425196,0.9306624703389146
