dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.1840,2.3920,-283.3377,581.6433,1.4871
0.1850,2.4050,-288.8643,597.0936,1.4838
0.1860,2.4180,-294.4886,612.9508,1.4804
0.1870,2.4310,-300.2121,629.2257,1.4771
0.1880,2.4440,-306.0365,645.9293,1.4738
0.1890,2.2680,-225.0430,452.8138,1.4970
0.1900,2.2800,-229.0800,463.9320,1.4938
0.1910,2.2920,-233.1819,475.3202,1.4906
0.1920,2.3040,-237.3496,486.9850,1.4874
0.1930,2.3160,-241.5841,498.9332,1.4842
0.1940,2.3280,-245.8864,511.1715,1.4810
0.1950,2.3400,-250.2574,523.7072,1.4779
0.1960,2.3520,-254.6981,536.5474,1.4747
0.1970,2.3640,-259.2095,549.6994,1.4715
0.1980,2.3760,-263.7928,563.1709,1.4684
0.1990,2.3880,-268.4488,576.9697,1.4653
0.2000,2.4000,-273.1786,591.1036,1.4622
0.2010,2.4120,-277.9834,605.5808,1.4590
0.2020,2.4240,-282.8642,620.4097,1.4559
0.2030,2.4360,-287.8221,635.5988,1.4528
0.2040,2.4480,-292.8581,651.1569,1.4498
0.2050,2.4600,-297.9734,667.0928,1.4467
0.2060,2.4720,-303.1692,683.4159,1.4436
0.2070,2.4840,-308.4466,700.1354,1.4406
0.2080,2.4960,-313.8067,717.2610,1.4375
0.2090,2.2990,-223.6957,482.0906,1.4640
0.2100,2.3100,-227.2675,492.9232,1.4611
0.2110,2.3210,-230.8900,503.9968,1.4581
0.2120,2.3320,-234.5638,515.3167,1.4552
0.2130,2.3430,-238.2895,526.8884,1.4523
0.2140,2.3540,-242.0679,538.7175,1.4493
0.2150,2.3650,-245.8996,550.8097,1.4464
0.2160,2.3760,-249.7852,563.1709,1.4435
0.2170,2.3870,-253.7255,575.8071,1.4406
0.2180,2.3980,-257.7211,588.7243,1.4378
0.2190,2.4090,-261.7727,601.9289,1.4349
0.2200,2.4200,-265.8811,615.4272,1.4320
0.2210,2.4310,-270.0470,629.2257,1.4292
0.2220,2.4420,-274.2710,643.3312,1.4263
0.2230,2.4530,-278.5540,657.7504,1.4235
0.2240,2.4640,-282.8966,672.4904,1.4207
0.2250,2.4750,-287.2996,687.5582,1.4179
0.2260,2.4860,-291.7637,702.9612,1.4150
0.2270,2.4970,-296.2898,718.7068,1.4123
0.2280,2.5080,-300.8786,734.8027,1.4095
0.2290,2.5190,-305.5308,751.2566,1.4067
0.2300,2.5300,-310.2473,768.0765,1.4039
0.2310,2.5410,-315.0288,785.2705,1.4012
0.2320,2.5520,-319.8762,802.8470,1.3984
0.2330,2.5630,-324.7902,820.8145,1.3957
0.2340,2.3400,-223.0765,523.7072,1.4260
0.2350,2.3500,-226.2016,534.3859,1.4233
0.2360,2.3600,-229.3652,545.2803,1.4206
0.2370,2.3700,-232.5678,556.3948,1.4180
0.2380,2.3800,-235.8097,567.7338,1.4154
0.2390,2.3900,-239.0914,579.3018,1.4127
0.2400,2.4000,-242.4133,591.1036,1.4101
0.2410,2.4100,-245.7758,603.1438,1.4075
0.2420,2.4200,-249.1794,615.4272,1.4049
