Limite_Inferior,Limite_Superior,Contém_Média
15.559703563328394,25.700296436671604,Sim
13.09069481454965,22.289305185450353,Sim
14.327763483287445,21.952236516712556,Sim
13.616629708778186,21.32337029122181,Sim
12.51121812339558,20.908781876604422,Sim
15.223027890941596,22.176972109058404,Sim
12.31053258619745,17.78946741380255,Não
12.855575904825155,21.484424095174848,Sim
9.772565917527903,15.587434082472097,Não
16.050474555224195,23.649525444775808,Sim
11.400958390066801,18.0390416099332,Não
18.12044863209578,34.23955136790422,Sim
14.59157818206922,24.388421817930777,Sim
13.906762696895324,21.173237303104674,Sim
14.16382293953592,20.95617706046408,Sim
13.587259443251833,23.59274055674817,Sim
15.6137660471002,25.2862339528998,Sim
13.110904741211275,20.569095258788725,Sim
17.54947165918774,27.59052834081226,Sim
13.864326543715286,20.235673456284715,Sim
14.881492468562566,24.138507531437437,Sim
14.242814148178981,21.277185851821024,Sim
11.925288619823345,23.314711380176657,Sim
13.967626633966953,20.912373366033048,Sim
12.01622851604111,21.103771483958887,Sim
13.622935954912878,22.17706404508712,Sim
15.81183415440211,26.32816584559789,Sim
15.821044853150813,25.41895514684919,Sim
14.43369651258509,23.88630348741491,Sim
15.672933783272006,25.86706621672799,Sim
12.599454608292818,19.260545391707183,Sim
8.861974850954535,14.538025149045463,Não
12.371580914391236,19.768419085608766,Sim
14.175595604666558,22.784404395333443,Sim
12.906217439349636,20.673782560650363,Sim
15.240043960556449,24.01995603944355,Sim
13.98262393279884,21.77737606720116,Sim
14.117105243982113,25.882894756017887,Sim
10.706962880558013,35.21303711944199,Sim
13.287201673611026,21.772798326388976,Sim
15.347316411344579,24.312683588655418,Sim
13.214318201646721,35.98568179835328,Sim
12.211884282125236,20.208115717874765,Sim
16.24646399668439,24.273536003315613,Sim
10.476332116798027,16.703667883201973,Não
17.15969012958689,28.76030987041311,Sim
13.443399423916109,22.37660057608389,Sim
16.473684816878457,24.386315183121543,Sim
14.645041734793555,24.814958265206446,Sim
11.783900249513142,62.93609975048686,Sim
15.006281192821358,23.093718807178643,Sim
11.181766973211506,22.418233026788496,Sim
15.692656935731375,25.187343064268628,Sim
14.259550653961291,23.44044934603871,Sim
14.14793529291002,22.972064707089977,Sim
13.788508189326354,21.651491810673644,Sim
14.650471788501333,22.109528211498667,Sim
12.361253877824325,20.078746122175673,Sim
16.932840945327865,26.58715905467214,Sim
12.44634370647106,19.47365629352894,Sim
16.86094840781209,33.81905159218791,Sim
13.55716846770909,19.922831532290907,Sim
13.023638334577184,22.756361665422816,Sim
10.654942935320033,16.565057064679966,Não
12.831787837024626,20.78821216297537,Sim
12.853686222885074,19.966313777114927,Sim
12.260265574071777,19.159734425928225,Sim
16.6722027020418,27.0677972979582,Sim
14.104230674750948,22.495769325249054,Sim
10.779174666270693,16.720825333729305,Não
18.857873433477245,30.602126566522756,Não
15.27198884282357,35.52801115717643,Sim
14.204656251449832,26.17534374855017,Sim
12.67044235300327,20.38955764699673,Sim
14.536594988783424,21.703405011216578,Sim
5.370847327373262,39.62915267262674,Sim
12.988433947901115,20.751566052098887,Sim
13.442650765909669,21.27734923409033,Sim
13.684656758057134,22.915343241942868,Sim
14.808249498180622,25.631750501819376,Sim
12.717496625909888,31.342503374090114,Sim
15.419165825166859,26.440834174833142,Sim
11.687783767725712,18.832216232274288,Não
13.80586722319066,21.47413277680934,Sim
14.232710078614097,23.187289921385904,Sim
16.804861400892424,29.57513859910758,Sim
12.03302595520631,30.20697404479369,Sim
15.572680781254645,23.967319218745352,Sim
11.744050284649205,24.555949715350792,Sim
16.276576650660353,24.403423349339647,Sim
13.239180357950051,19.840819642049947,Sim
14.322507363667468,21.21749263633253,Sim
14.168208287281345,22.071791712718657,Sim
11.581718680072303,33.89828131992769,Sim
16.65552980664949,24.30447019335051,Sim
12.873001927238773,20.946998072761225,Sim
10.37016103027508,34.72983896972492,Sim
12.535817645963093,19.80418235403691,Sim
13.19884014571779,21.581159854282213,Sim
15.31856743681103,23.68143256318897,Sim
11.202652050665733,25.837347949334266,Sim
13.934692830157953,26.185307169842044,Sim
13.055656309995834,18.884343690004165,Sim
15.525009339930767,23.29499066006923,Sim
14.885553584284139,22.674446415715863,Sim
16.47191045075386,29.70808954924614,Sim
14.024292154119056,23.755707845880945,Sim
14.723312955675812,25.936687044324184,Sim
14.386330632509008,23.993669367490995,Sim
11.148811770383798,18.5911882296162,Não
13.581500085211974,22.158499914788027,Sim
14.928082798074733,25.791917201925266,Sim
13.7787540677055,20.4012459322945,Sim
13.795007288243092,21.384992711756908,Sim
14.537339898610856,32.20266010138914,Sim
14.933218431832373,22.84678156816763,Sim
13.865342017660156,20.854657982339845,Sim
12.118662665733503,18.3413373342665,Não
11.24944346247833,17.070556537521668,Não
16.273121945237815,24.186878054762186,Sim
13.28532930359247,21.374670696407527,Sim
13.3211970435701,20.9588029564299,Sim
15.655337604983462,26.80466239501654,Sim
11.821111332346135,41.59888866765387,Sim
15.124894583767034,22.995105416232963,Sim
16.048996168726084,26.871003831273917,Sim
12.702118713604062,19.75788128639594,Sim
13.905066073005678,21.31493392699432,Sim
15.402191632639688,22.85780836736031,Sim
7.100277385333396,40.5397226146666,Sim
13.908680366878649,21.071319633121348,Sim
13.508398498839092,22.851601501160907,Sim
11.28189712588621,17.278102874113788,Não
13.109644294639164,21.310355705360838,Sim
13.169222265987234,20.630777734012764,Sim
11.421003165800089,21.318996834199915,Sim
10.672644683996051,16.32735531600395,Não
18.452491813696767,42.12750818630323,Sim
11.98133326024237,19.81866673975763,Sim
8.584256449813259,16.87574355018674,Não
13.734357579306135,23.965642420693868,Sim
11.74645965081795,28.43354034918205,Sim
13.906800949475558,24.63319905052444,Sim
11.937617136394746,18.242382863605254,Não
14.499439724384036,21.380560275615967,Sim
14.933737898564445,28.126262101435557,Sim
15.593979708438685,24.686020291561316,Sim
12.413539798491744,19.866460201508257,Sim
12.674906881281988,23.465093118718013,Sim
14.248725679978534,24.011274320021464,Sim
13.702880952527961,23.017119047472036,Sim
12.20981985058593,33.29018014941407,Sim
14.823505892707766,22.37649410729224,Sim
12.138473164063521,18.90152683593648,Sim
10.682441004691263,31.217558995308735,Sim
12.024136478519353,20.735863521480645,Sim
12.549717860898859,22.330282139101143,Sim
10.354370008490537,20.325629991509462,Sim
13.408691192934103,22.171308807065895,Sim
12.745940271860189,18.734059728139812,Não
12.97764534331712,19.182354656682875,Sim
11.748676997302688,18.09132300269731,Não
11.14134244072822,17.63865755927178,Não
12.983938534730115,21.736061465269884,Sim
16.03283091168902,30.28716908831098,Sim
14.094764522347925,23.24523547765208,Sim
12.895305543862175,21.184694456137823,Sim
14.092565262791608,21.107434737208393,Sim
12.401921775284077,22.118078224715926,Sim
15.12306818863734,22.83693181136266,Sim
12.633586500452145,18.44641349954785,Não
14.434115585564673,26.26588441443533,Sim
12.743174546970092,19.156825453029906,Sim
13.378273355687782,23.561726644312216,Sim
11.795218883402422,17.24478111659758,Não
14.193963950542843,22.206036049457154,Sim
14.381782244816325,23.27821775518367,Sim
13.285086767214008,48.43491323278599,Sim
12.020040497196392,33.99995950280361,Sim
11.533974472823038,25.306025527176963,Sim
11.952237160805534,18.247762839194465,Não
13.579361327162172,20.02063867283783,Sim
12.249901255169528,17.350098744830472,Não
14.301741307936505,22.4382586920635,Sim
15.255031396565645,25.684968603434353,Sim
14.559710933980638,20.94028906601936,Sim
17.8929856486994,27.587014351300596,Sim
15.200493270505959,23.79950672949404,Sim
14.034186447475715,22.12581355252428,Sim
13.012104866473344,20.447895133526657,Sim
12.155060758380042,25.244939241619957,Sim
12.544141724250156,26.095858275749844,Sim
15.10015464375716,22.039845356242843,Sim
14.518558589623785,23.681441410376216,Sim
18.010804559567486,35.66919544043252,Sim
13.540465870691085,21.099534129308914,Sim
15.192470471162821,24.247529528837177,Sim
12.24140343887613,20.11859656112387,Sim
12.425557866588356,20.37444213341164,Sim
11.661861762823094,21.018138237176906,Sim
16.73733737448725,26.62266262551275,Sim
13.323673888975422,22.156326111024576,Sim
14.142501008609445,21.897498991390556,Sim
17.101706791251832,27.03829320874817,Sim
13.387440246657992,21.81255975334201,Sim
11.743750912185268,18.936249087814733,Sim
13.52440016751931,21.775599832480687,Sim
15.974154520552931,25.505845479447068,Sim
11.24931072965969,25.910689270340306,Sim
14.945986790370167,28.53401320962983,Sim
12.358805100577587,19.02119489942241,Sim
13.767161453514468,25.552838546485532,Sim
14.067319110385538,21.692680889614458,Sim
13.074182309484282,20.52581769051572,Sim
10.951321689617869,18.428678310382132,Não
14.106810729788384,20.71318927021162,Sim
14.955832456121563,23.78416754387844,Sim
