tempo_s,posicao_m,velocidade_m_s
0.0780,99.9614,-1.1507
0.0790,99.9603,-1.1721
0.0800,99.9591,-1.1936
0.0810,99.9579,-1.2153
0.0820,99.9567,-1.2373
0.0830,99.9555,-1.2595
0.0840,99.9542,-1.2819
0.0850,99.9529,-1.3045
0.0860,99.9516,-1.3274
0.0870,99.9503,-1.3505
0.0880,99.9490,-1.3738
0.0890,99.9476,-1.3973
0.0900,99.9462,-1.4211
0.0910,99.9448,-1.4451
0.0920,99.9433,-1.4694
0.0930,99.9418,-1.4939
0.0940,99.9403,-1.5186
0.0950,99.9388,-1.5436
0.0960,99.9373,-1.5689
0.0970,99.9357,-1.5944
0.0980,99.9341,-1.6201
0.0990,99.9325,-1.6462
0.1000,99.9309,-1.6724
0.1010,99.9292,-1.6990
0.1020,99.9275,-1.7258
0.1030,99.9258,-1.7528
0.1040,99.9240,-1.7802
0.1050,99.9222,-1.8078
0.1060,99.9204,-1.8357
0.1070,99.9186,-1.8638
0.1080,99.9167,-1.8923
0.1090,99.9148,-1.9210
0.1100,99.9129,-1.9500
0.1110,99.9110,-1.9793
0.1120,99.9090,-2.0089
0.1130,99.9070,-2.0388
0.1140,99.9049,-2.0690
0.1150,99.9029,-2.0995
0.1160,99.9008,-2.1303
0.1170,99.8986,-2.1615
0.1180,99.8965,-2.1929
0.1190,99.8943,-2.2246
0.1200,99.8921,-2.2567
0.1210,99.8898,-2.2891
0.1220,99.8875,-2.3218
0.1230,99.8852,-2.3548
0.1240,99.8828,-2.3881
0.1250,99.8804,-2.4218
0.1260,99.8780,-2.4559
0.1270,99.8756,-2.4902
0.1280,99.8731,-2.5249
0.1290,99.8705,-2.5600
0.1300,99.8680,-2.5954
0.1310,99.8654,-2.6312
0.1320,99.8628,-2.6673
0.1330,99.8601,-2.7038
0.1340,99.8574,-2.7406
0.1350,99.8547,-2.7778
0.1360,99.8519,-2.8154
0.1370,99.8491,-2.8534
0.1380,99.8462,-2.8917
0.1390,99.8433,-2.9305
0.1400,99.8404,-2.9696
0.1410,99.8374,-3.0091
0.1420,99.8344,-3.0490
0.1430,99.8314,-3.0893
0.1440,99.8283,-3.1300
0.1450,99.8251,-3.1711
0.1460,99.8220,-3.2126
0.1470,99.8188,-3.2546
0.1480,99.8155,-3.2969
0.1490,99.8122,-3.3397
0.1500,99.8089,-3.3829
0.1510,99.8055,-3.4265
0.1520,99.8021,-3.4706
0.1530,99.7986,-3.5151
0.1540,99.7951,-3.5601
0.1550,99.7915,-3.6055
0.1560,99.7879,-3.6514
0.1570,99.7842,-3.6977
0.1580,99.7805,-3.7445
0.1590,99.7768,-3.7917
0.1600,99.7730,-3.8395
0.1610,99.7692,-3.8877
0.1620,99.7653,-3.9364
0.1630,99.7614,-3.9855
0.1640,99.7574,-4.0352
0.1650,99.7533,-4.0854
0.1660,99.7492,-4.1360
0.1670,99.7451,-4.1872
0.1680,99.7409,-4.2389
0.1690,99.7367,-4.2911
0.1700,99.7324,-4.3438
0.1710,99.7280,-4.3970
0.1720,99.7237,-4.4508
0.1730,99.7192,-4.5051
0.1740,99.7147,-4.5600
0.1750,99.7101,-4.6154
0.1760,99.7055,-4.6714
0.1770,99.7008,-4.7279
0.1780,99.6961,-4.7850
0.1790,99.6913,-4.8426
0.1800,99.6865,-4.9009
0.1810,99.6816,-4.9597
0.1820,99.6766,-5.0191
0.1830,99.6716,-5.0791
0.1840,99.6665,-5.1397
0.1850,99.6614,-5.2009
0.1860,99.6562,-5.2627
0.1870,99.6509,-5.3252
0.1880,99.6456,-5.3882
0.1890,99.6402,-5.4519
0.1900,99.6348,-5.5163
0.1910,99.6292,-5.5812
0.1920,99.6237,-5.6469
0.1930,99.6180,-5.7131
0.1940,99.6123,-5.7801
0.1950,99.6065,-5.8477
0.1960,99.6007,-5.9160
0.1970,99.5948,-5.9849
0.1980,99.5888,-6.0546
0.1990,99.5827,-6.1250
0.2000,99.5766,-6.1960
0.2010,99.5704,-6.2678
0.2020,99.5641,-6.3403
0.2030,99.5578,-6.4135
0.2040,99.5514,-6.4874
0.2050,99.5449,-6.5621
0.2060,99.5383,-6.6375
0.2070,99.5317,-6.7137
0.2080,99.5250,-6.7907
0.2090,99.5182,-6.8684
0.2100,99.5113,-6.9469
0.2110,99.5044,-7.0262
0.2120,99.4973,-7.1062
0.2130,99.4902,-7.1871
0.2140,99.4831,-7.2688
0.2150,99.4758,-7.3513
0.2160,99.4684,-7.4346
0.2170,99.4610,-7.5188
0.2180,99.4535,-7.6038
0.2190,99.4459,-7.6896
0.2200,99.4382,-7.7763
0.2210,99.4304,-7.8639
0.2220,99.4225,-7.9523
0.2230,99.4146,-8.0417
0.2240,99.4066,-8.1319
0.2250,99.3984,-8.2230
0.2260,99.3902,-8.3151
0.2270,99.3819,-8.4080
0.2280,99.3735,-8.5019
0.2290,99.3650,-8.5968
0.2300,99.3564,-8.6925
0.2310,99.3477,-8.7893
0.2320,99.3389,-8.8870
0.2330,99.3300,-8.9856
0.2340,99.3210,-9.0853
0.2350,99.3119,-9.1860
0.2360,99.3028,-9.2876
0.2370,99.2935,-9.3903
0.2380,99.2841,-9.4940
0.2390,99.2746,-9.5988
0.2400,99.2650,-9.7046
0.2410,99.2553,-9.8115
0.2420,99.2455,-9.9194
0.2430,99.2355,-10.0284
0.2440,99.2255,-10.1385
0.2450,99.2154,-10.2497
0.2460,99.2051,-10.3620
0.2470,99.1948,-10.4754
0.2480,99.1843,-10.5900
0.2490,99.1737,-10.7057
0.2500,99.1630,-10.8225
0.2510,99.1522,-10.9406
0.2520,99.1412,-11.0598
0.2530,99.1302,-11.1802
0.2540,99.1190,-11.3018
0.2550,99.1077,-11.4246
0.2560,99.0963,-11.5487
0.2570,99.0847,-11.6740
0.2580,99.0730,-11.8005
0.2590,99.0612,-11.9284
0.2600,99.0493,-12.0575
0.2610,99.0373,-12.1878
0.2620,99.0251,-12.3195
0.2630,99.0127,-12.4525
0.2640,99.0003,-12.5869
0.2650,98.9877,-12.7225
0.2660,98.9750,-12.8596
0.2670,98.9621,-12.9980
0.2680,98.9491,-13.1378
0.2690,98.9360,-13.2790
0.2700,98.9227,-13.4216
0.2710,98.9093,-13.5656
0.2720,98.8957,-13.7111
0.2730,98.8820,-13.8580
0.2740,98.8682,-14.0064
0.2750,98.8542,-14.1562
0.2760,98.8400,-14.3076
0.2770,98.8257,-14.4605
0.2780,98.8112,-14.6149
0.2790,98.7966,-14.7709
0.2800,98.7818,-14.9284
0.2810,98.7669,-15.0875
0.2820,98.7518,-15.2482
0.2830,98.7366,-15.4105
0.2840,98.7212,-15.5744
0.2850,98.7056,-15.7399
0.2860,98.6899,-15.9071
0.2870,98.6739,-16.0760
0.2880,98.6579,-16.2466
0.2890,98.6416,-16.4189
0.2900,98.6252,-16.5929
0.2910,98.6086,-16.7686
0.2920,98.5918,-16.9461
0.2930,98.5749,-17.1254
0.2940,98.5578,-17.3064
0.2950,98.5405,-17.4893
0.2960,98.5230,-17.6740
0.2970,98.5053,-17.8606
0.2980,98.4874,-18.0490
0.2990,98.4694,-18.2393
0.3000,98.4512,-18.4315
0.3010,98.4327,-18.6256
0.3020,98.4141,-18.8217
0.3030,98.3953,-19.0197
0.3040,98.3763,-19.2197
0.3050,98.3570,-19.4217
0.3060,98.3376,-19.6257
0.3070,98.3180,-19.8318
0.3080,98.2982,-20.0399
0.3090,98.2781,-20.2501
0.3100,98.2579,-20.4625
0.3110,98.2374,-20.6769
0.3120,98.2167,-20.8935
0.3130,98.1958,-21.1122
0.3140,98.1747,-21.3332
0.3150,98.1534,-21.5563
0.3160,98.1318,-21.7817
0.3170,98.1100,-22.0093
0.3180,98.0880,-22.2392
0.3190,98.0658,-22.4714
0.3200,98.0433,-22.7059
0.3210,98.0206,-22.9428
0.3220,97.9977,-23.1820
0.3230,97.9745,-23.4237
0.3240,97.9511,-23.6677
0.3250,97.9274,-23.9142
0.3260,97.9035,-24.1631
0.3270,97.8793,-24.4146
0.3280,97.8549,-24.6685
0.3290,97.8302,-24.9250
0.3300,97.8053,-25.1841
0.3310,97.7801,-25.4457
0.3320,97.7547,-25.7100
0.3330,97.7290,-25.9769
0.3340,97.7030,-26.2465
0.3350,97.6768,-26.5188
0.3360,97.6502,-26.7938
0.3370,97.6234,-27.0715
0.3380,97.5964,-27.3521
0.3390,97.5690,-27.6354
0.3400,97.5414,-27.9215
0.3410,97.5135,-28.2106
0.3420,97.4853,-28.5025
0.3430,97.4568,-28.7973
0.3440,97.4280,-29.0951
0.3450,97.3989,-29.3959
0.3460,97.3695,-29.6996
0.3470,97.3398,-30.0064
0.3480,97.3098,-30.3163
0.3490,97.2794,-30.6293
0.3500,97.2488,-30.9454
0.3510,97.2179,-31.2647
0.3520,97.1866,-31.5871
0.3530,97.1550,-31.9128
0.3540,97.1231,-32.2417
0.3550,97.0909,-32.5740
0.3560,97.0583,-32.9095
0.3570,97.0254,-33.2484
0.3580,96.9921,-33.5907
0.3590,96.9585,-33.9364
0.3600,96.9246,-34.2856
0.3610,96.8903,-34.6383
0.3620,96.8557,-34.9945
0.3630,96.8207,-35.3542
0.3640,96.7853,-35.7176
0.3650,96.7496,-36.0845
0.3660,96.7135,-36.4552
0.3670,96.6771,-36.8296
0.3680,96.6402,-37.2077
0.3690,96.6030,-37.5896
0.3700,96.5654,-37.9753
0.3710,96.5275,-38.3648
0.3720,96.4891,-38.7583
0.3730,96.4503,-39.1557
0.3740,96.4112,-39.5570
0.3750,96.3716,-39.9624
0.3760,96.3317,-40.3719
0.3770,96.2913,-40.7854
0.3780,96.2505,-41.2031
0.3790,96.2093,-41.6249
0.3800,96.1677,-42.0510
0.3810,96.1256,-42.4813
0.3820,96.0832,-42.9159
0.3830,96.0402,-43.3549
0.3840,95.9969,-43.7982
0.3850,95.9531,-44.2460
0.3860,95.9088,-44.6983
0.3870,95.8641,-45.1551
0.3880,95.8190,-45.6164
0.3890,95.7734,-46.0824
0.3900,95.7273,-46.5530
0.3910,95.6807,-47.0284
0.3920,95.6337,-47.5085
0.3930,95.5862,-47.9934
0.3940,95.5382,-48.4831
0.3950,95.4897,-48.9778
0.3960,95.4407,-49.4773
0.3970,95.3913,-49.9819
0.3980,95.3413,-50.4916
0.3990,95.2908,-51.0063
0.4000,95.2398,-51.5262
0.4010,95.1883,-52.0512
0.4020,95.1362,-52.5816
0.4030,95.0836,-53.1172
0.4040,95.0305,-53.6582
0.4050,94.9768,-54.2046
0.4060,94.9226,-54.7564
0.4070,94.8679,-55.3138
0.4080,94.8126,-55.8767
0.4090,94.7567,-56.4453
0.4100,94.7003,-57.0196
0.4110,94.6432,-57.5996
0.4120,94.5856,-58.1854
0.4130,94.5274,-58.7770
0.4140,94.4687,-59.3746
0.4150,94.4093,-59.9782
0.4160,94.3493,-60.5878
0.4170,94.2887,-61.2035
0.4180,94.2275,-61.8253
0.4190,94.1657,-62.4534
0.4200,94.1032,-63.0877
0.4210,94.0402,-63.7284
0.4220,93.9764,-64.3755
0.4230,93.9121,-65.0291
0.4240,93.8470,-65.6892
0.4250,93.7813,-66.3559
0.4260,93.7150,-67.0292
0.4270,93.6480,-67.7093
0.4280,93.5802,-68.3962
0.4290,93.5118,-69.0900
0.4300,93.4428,-69.7907
0.4310,93.3730,-70.4984
0.4320,93.3025,-71.2132
0.4330,93.2313,-71.9352
0.4340,93.1593,-72.6643
0.4350,93.0867,-73.4008
0.4360,93.0133,-74.1446
0.4370,92.9391,-74.8959
0.4380,92.8642,-75.6546
0.4390,92.7886,-76.4210
0.4400,92.7121,-77.1950
0.4410,92.6349,-77.9768
0.4420,92.5570,-78.7663
0.4430,92.4782,-79.5638
0.4440,92.3986,-80.3693
0.4450,92.3183,-81.1828
0.4460,92.2371,-82.0044
0.4470,92.1551,-82.8343
0.4480,92.0722,-83.6724
0.4490,91.9886,-84.5189
0.4500,91.9041,-85.3739
0.4510,91.8187,-86.2375
0.4520,91.7324,-87.1097
0.4530,91.6453,-87.9906
0.4540,91.5573,-88.8803
0.4550,91.4685,-89.7789
0.4560,91.3787,-90.6865
0.4570,91.2880,-91.6032
0.4580,91.1964,-92.5290
0.4590,91.1039,-93.4641
0.4600,91.0104,-94.4086
0.4610,90.9160,-95.3625
0.4620,90.8206,-96.3259
0.4630,90.7243,-97.2990
0.4640,90.6270,-98.2818
0.4650,90.5287,-99.2744
0.4660,90.4294,-100.2770
0.4670,90.3292,-101.2895
0.4680,90.2279,-102.3122
0.4690,90.1256,-103.3452
0.4700,90.0222,-104.3884
0.4710,89.9178,-105.4421
0.4720,89.8124,-106.5064
0.4730,89.7059,-107.5812
0.4740,89.5983,-108.6669
0.4750,89.4896,-109.7633
0.4760,89.3799,-110.8708
0.4770,89.2690,-111.9893
0.4780,89.1570,-113.1190
0.4790,89.0439,-114.2600
0.4800,88.9296,-115.4124
0.4810,88.8142,-116.5764
0.4820,88.6976,-117.7519
0.4830,88.5799,-118.9393
0.4840,88.4610,-120.1385
0.4850,88.3408,-121.3497
0.4860,88.2195,-122.5730
0.4870,88.0969,-123.8085
0.4880,87.9731,-125.0564
0.4890,87.8480,-126.3168
0.4900,87.7217,-127.5897
0.4910,87.5941,-128.8755
0.4920,87.4653,-130.1740
0.4930,87.3351,-131.4856
0.4940,87.2036,-132.8102
0.4950,87.0708,-134.1481
0.4960,86.9366,-135.4994
0.4970,86.8011,-136.8642
0.4980,86.6643,-138.2427
0.4990,86.5260,-139.6349
0.5000,86.3864,-141.0411
0.5010,86.2453,-142.4613
0.5020,86.1029,-143.8957
0.5030,85.9590,-145.3445
0.5040,85.8136,-146.8078
0.5050,85.6668,-148.2856
0.5060,85.5186,-149.7783
0.5070,85.3688,-151.2859
0.5080,85.2175,-152.8086
0.5090,85.0647,-154.3465
0.5100,84.9103,-155.8997
0.5110,84.7544,-157.4686
0.5120,84.5970,-159.0530
0.5130,84.4379,-160.6534
0.5140,84.2773,-162.2697
0.5150,84.1150,-163.9022
0.5160,83.9511,-165.5511
0.5170,83.7855,-167.2164
0.5180,83.6183,-168.8984
0.5190,83.4494,-170.5972
0.5200,83.2788,-172.3129
0.5210,83.1065,-174.0459
0.5220,82.9325,-175.7961
0.5230,82.7567,-177.5639
0.5240,82.5791,-179.3494
0.5250,82.3998,-181.1527
0.5260,82.2186,-182.9740
0.5270,82.0356,-184.8136
0.5280,81.8508,-186.6715
0.5290,81.6641,-188.5480
0.5300,81.4756,-190.4433
0.5310,81.2852,-192.3576
0.5320,81.0928,-194.2909
0.5330,80.8985,-196.2437
0.5340,80.7023,-198.2159
0.5350,80.5040,-200.2079
0.5360,80.3038,-202.2198
0.5370,80.1016,-204.2518
0.5380,79.8974,-206.3041
0.5390,79.6911,-208.3770
0.5400,79.4827,-210.4705
0.5410,79.2722,-212.5851
0.5420,79.0596,-214.7207
0.5430,78.8449,-216.8777
0.5440,78.6280,-219.0563
0.5450,78.4090,-221.2567
0.5460,78.1877,-223.4791
0.5470,77.9642,-225.7237
0.5480,77.7385,-227.9907
0.5490,77.5105,-230.2804
0.5500,77.2802,-232.5930
0.5510,77.0477,-234.9288
0.5520,76.8127,-237.2879
0.5530,76.5754,-239.6706
0.5540,76.3358,-242.0771
0.5550,76.0937,-244.5077
0.5560,75.8492,-246.9626
0.5570,75.6022,-249.4420
0.5580,75.3528,-251.9462
0.5590,75.1008,-254.4755
0.5600,74.8464,-257.0301
0.5610,74.5893,-259.6102
0.5620,74.3297,-262.2161
0.5630,74.0675,-264.8481
0.5640,73.8026,-267.5063
0.5650,73.5351,-270.1912
0.5660,73.2650,-272.9029
0.5670,72.9920,-275.6418
0.5680,72.7164,-278.4080
0.5690,72.4380,-281.2019
0.5700,72.1568,-284.0237
0.5710,71.8728,-286.8738
0.5720,71.5859,-289.7523
0.5730,71.2961,-292.6597
0.5740,71.0035,-295.5961
0.5750,70.7079,-298.5618
0.5760,70.4093,-301.5573
0.5770,70.1078,-304.5826
0.5780,69.8032,-307.6383
0.5790,69.4956,-310.7245
0.5800,69.1848,-313.8415
0.5810,68.8710,-316.9898
0.5820,68.5540,-320.1695
0.5830,68.2338,-323.3810
0.5840,67.9104,-326.6246
0.5850,67.5838,-329.9006
0.5860,67.2539,-333.2095
0.5870,66.9207,-336.5514
0.5880,66.5842,-339.9267
0.5890,66.2442,-343.3358
0.5900,65.9009,-346.7789
0.5910,65.5541,-350.2565
0.5920,65.2039,-353.7689
0.5930,64.8501,-357.3164
0.5940,64.4928,-360.8994
0.5950,64.1319,-364.5182
0.5960,63.7674,-368.1732
0.5970,63.3992,-371.8647
0.5980,63.0273,-375.5932
0.5990,62.6517,-379.3589
0.6000,62.2724,-383.1623
0.6010,61.8892,-387.0037
0.6020,61.5022,-390.8836
0.6030,61.1113,-394.8022
0.6040,60.7165,-398.7601
0.6050,60.3178,-402.7575
0.6060,59.9150,-406.7949
0.6070,59.5082,-410.8726
0.6080,59.0973,-414.9912
0.6090,58.6823,-419.1509
0.6100,58.2632,-423.3522
0.6110,57.8398,-427.5955
0.6120,57.4122,-431.8813
0.6130,56.9804,-436.2099
0.6140,56.5442,-440.5818
0.6150,56.1036,-444.9975
0.6160,55.6586,-449.4572
0.6170,55.2091,-453.9616
0.6180,54.7552,-458.5111
0.6190,54.2966,-463.1060
0.6200,53.8335,-467.7468
0.6210,53.3658,-472.4341
0.6220,52.8934,-477.1683
0.6230,52.4162,-481.9498
0.6240,51.9342,-486.7791
0.6250,51.4475,-491.6567
0.6260,50.9558,-496.5831
0.6270,50.4592,-501.5587
0.6280,49.9577,-506.5841
0.6290,49.4511,-511.6597
0.6300,48.9394,-516.7861
0.6310,48.4226,-521.9638
0.6320,47.9007,-527.1933
0.6330,47.3735,-532.4750
0.6340,46.8410,-537.8096
0.6350,46.3032,-543.1975
0.6360,45.7600,-548.6393
0.6370,45.2114,-554.1355
0.6380,44.6572,-559.6866
0.6390,44.0975,-565.2933
0.6400,43.5322,-570.9560
0.6410,42.9613,-576.6754
0.6420,42.3846,-582.4520
0.6430,41.8022,-588.2863
0.6440,41.2139,-594.1790
0.6450,40.6197,-600.1306
0.6460,40.0196,-606.1417
0.6470,39.4134,-612.2129
0.6480,38.8012,-618.3449
0.6490,38.1829,-624.5381
0.6500,37.5583,-630.7933
0.6510,36.9275,-637.1111
0.6520,36.2904,-643.4920
0.6530,35.6469,-649.9367
0.6540,34.9970,-656.4459
0.6550,34.3405,-663.0202
0.6560,33.6775,-669.6602
0.6570,33.0079,-676.3666
0.6580,32.3315,-683.1401
0.6590,31.6484,-689.9813
0.6600,30.9584,-696.8909
0.6610,30.2615,-703.8696
0.6620,29.5576,-710.9181
0.6630,28.8467,-718.0371
0.6640,28.1287,-725.2273
0.6650,27.4034,-732.4894
0.6660,26.6709,-739.8241
0.6670,25.9311,-747.2321
0.6680,25.1839,-754.7143
0.6690,24.4292,-762.2712
0.6700,23.6669,-769.9037
0.6710,22.8970,-777.6126
0.6720,22.1194,-785.3985
0.6730,21.3340,-793.2623
0.6740,20.5407,-801.2047
0.6750,19.7395,-809.2266
0.6760,18.9303,-817.3287
0.6770,18.1130,-825.5118
0.6780,17.2874,-833.7767
0.6790,16.4537,-842.1243
0.6800,15.6115,-850.5553
0.6810,14.7610,-859.0707
0.6820,13.9019,-867.6712
0.6830,13.0343,-876.3577
0.6840,12.1579,-885.1311
0.6850,11.2728,-893.9922
0.6860,10.3788,-902.9420
0.6870,9.4758,-911.9812
0.6880,8.5638,-921.1108
0.6890,7.6427,-930.3317
0.6900,6.7124,-939.6449
0.6910,5.7728,-949.0511
0.6920,4.8237,-958.5514
0.6930,3.8652,-968.1468
0.6940,2.8970,-977.8380
0.6950,1.9192,-987.6262
0.6960,0.9315,-997.5123
0.6970,0.0000,-1007.4972
